Date,Mkt-RF,SMB,HML,RMW,CMA,RF
20020401,-5.2,6.66,3.93,4.57,5.39,0.15
20020501,-1.38,-3.07,1.69,2.27,2.41,0.14
20020601,-7.21,3.77,0.13,3.62,2.54,0.13
20020701,-8.18,-6.24,-3.41,4.2,-0.73,0.15
20020801,0.5,-1.27,2.49,1.15,-1.61,0.14
20020901,-10.35,3.07,1.31,3.27,-2.29,0.14
20021001,7.84,-4.12,-5.46,-3.29,0.92,0.14
20021101,5.96,2.9,-1.15,-9.14,5.16,0.12
20021201,-5.76,0.49,2.25,6.05,-1.61,0.11
20030101,-2.57,0.81,-0.93,-0.61,0.81,0.1
20030201,-1.88,-0.89,-1.46,1.04,-0.54,0.09
20030301,1.09,0.55,-2.09,1.81,-0.69,0.1
20030401,8.22,1.06,1.03,-4.58,1.15,0.1
20030501,6.05,4.83,-0.3,-6.92,3.22,0.09
20030601,1.42,1.68,0.66,0.54,-0.32,0.1
20030701,2.35,4.73,-1.15,-4.17,1.89,0.07
20030801,2.34,2.54,2.03,-2.48,2.19,0.07
20030901,-1.24,0.52,0.02,1.34,0.28,0.08
20031001,6.08,2.64,1.76,-1.58,1.58,0.07
20031101,1.35,2.2,1.86,0.07,1.69,0.07
20031201,4.29,-2.7,2.42,0,1,0.08
20040101,2.15,2.56,1.97,-3.54,3.34,0.07
20040201,1.4,-0.91,0.49,2.28,-1.35,0.06
20040301,-1.32,2.1,0.21,1.5,-1.04,0.09
20040401,-1.83,-2.18,-2.62,3.3,-2.82,0.08
20040501,1.17,-0.4,-0.39,-0.98,-0.09,0.06
20040601,1.86,2.56,1.38,1.12,-0.39,0.08
20040701,-4.06,-3.01,4.1,5.08,-1.64,0.1
20040801,0.08,-1.28,1.03,1.31,-1.42,0.11
20040901,1.6,3.28,-0.25,-1.34,-1.88,0.11
20041001,1.43,0.29,-0.62,-0.08,0.41,0.11
20041101,4.54,4.12,1.79,-1.05,-0.23,0.15
20041201,3.43,0.01,-0.06,-1.27,0.5,0.16
20050101,-2.76,-1.11,1.97,3.05,-1.37,0.16
20050201,1.89,-0.3,1.63,1.21,-0.06,0.16
20050301,-1.97,-1.41,1.58,0.48,1.1,0.21
20050401,-2.61,-4.03,-0.34,0.96,-0.88,0.21
20050501,3.65,2.72,-0.81,-1.31,0.27,0.24
20050601,0.57,3.27,2.62,0.98,-0.53,0.23
20050701,3.92,2.83,-0.51,-1.17,-0.98,0.24
20050801,-1.22,-0.86,1.27,-2.24,0.45,0.3
20050901,0.49,-0.31,0.77,0.5,-0.57,0.29
20051001,-2.02,-1.41,0.23,-0.56,-1.26,0.27
20051101,3.61,0.8,-1.18,-0.58,-1.17,0.31
20051201,-0.25,-0.28,0.44,0.12,0.21,0.32
20060101,3.04,5.78,1.12,-0.94,-0.53,0.35
20060201,-0.3,-0.45,-0.25,-0.71,2.03,0.34
20060301,1.46,3.45,0.61,-0.04,-0.53,0.37
20060401,0.73,-0.82,2.59,1.16,-0.2,0.36
20060501,-3.57,-2.99,2.55,0.93,1.31,0.43
20060601,-0.35,-0.24,0.87,1.37,-0.12,0.4
20060701,-0.78,-3.69,2.94,1.6,0.93,0.4
20060801,2.03,0.44,-1.72,-1.73,2.15,0.42
20060901,1.84,-1.44,0.05,0.89,0.54,0.41
20061001,3.23,1.93,-0.04,-0.21,0.24,0.41
20061101,1.71,0.82,0.07,0.12,-0.87,0.42
20061201,0.87,-0.79,3.16,-0.81,2.05,0.4
20070101,1.4,0.08,-0.11,0.23,0.23,0.44
20070201,-1.96,1.4,-0.09,-0.46,-0.75,0.38
20070301,0.68,0.06,-0.22,0.27,-0.61,0.43
20070401,3.49,-2.02,-1.15,1.01,1.01,0.44
20070501,3.24,0.29,-0.05,1.14,-1.3,0.41
20070601,-1.96,0.76,-1.13,0.55,0.07,0.4
20070701,-3.73,-2.88,-3.34,0.6,-1.04,0.4
20070801,0.92,-0.34,-2.24,-0.9,-0.55,0.42
20070901,3.22,-2.42,-1.87,-0.56,-3.17,0.32
20071001,1.8,0.03,-2.59,-0.31,-0.1,0.32
20071101,-4.83,-2.82,-1.18,1.9,-0.33,0.34
20071201,-0.87,0.17,-0.52,0.71,-1.09,0.27
20080101,-6.36,-0.51,3.65,1.96,2.2,0.21
20080201,-3.09,-0.52,-0.95,0.74,-1.07,0.13
20080301,-0.93,0.74,-0.15,1.11,0.47,0.17
20080401,4.6,-1.15,-0.96,1.29,-2.56,0.18
20080501,1.86,3.21,-1.38,0.81,0.04,0.18
20080601,-8.44,1.14,-2.43,4.31,-0.42,0.17
20080701,-0.77,3.67,5.81,-0.99,1.06,0.15
20080801,1.53,3.42,1.56,1.84,0.82,0.13
20080901,-9.24,0.38,6.33,2.91,1.82,0.15
20081001,-17.23,-3.22,-2.9,3.61,1.89,0.08
20081101,-7.86,-3.89,-5.94,4.82,2.72,0.03
20081201,1.74,3.36,-0.24,-0.07,-1.41,0
20090101,-8.12,-2.06,-11.1,0.26,-1.19,0
20090201,-10.1,-1.19,-7.25,1.72,-1.11,0.01
20090301,8.95,0.66,3.52,-2.3,-2.25,0.02
20090401,10.19,6.73,5.46,0.28,0.14,0.01
20090501,5.21,-2.33,-0.21,-0.99,-2.12,0
20090601,0.43,2.32,-2.71,-1.07,-0.16,0.01
20090701,7.72,2.43,5.27,-0.65,3.21,0.01
20090801,3.33,-0.04,7.76,-3.04,3.2,0.01
20090901,4.08,2.74,0.92,1.49,0.4,0.01
20091001,-2.59,-4.78,-4.18,4.2,-1.68,0
20091101,5.56,-2.79,-0.17,0.81,0.15,0
20091201,2.75,6.22,0.01,0.44,-0.08,0.01
20100101,-3.36,0.3,0.31,-1.37,0.43,0
20100201,3.4,1.46,3.17,-0.35,1.41,0
20100301,6.31,1.78,2.1,-0.56,1.69,0.01
20100401,2,5.05,2.81,1.05,1.72,0.01
20100501,-7.89,0.06,-2.38,1.37,-0.22,0.01
20100601,-5.56,-2.5,-4.5,-0.21,-1.52,0.01
20100701,6.93,0.09,-0.26,0.23,1.99,0.01
20100801,-4.77,-3.12,-1.96,0.61,-1.7,0.01
20100901,9.54,3.73,-3.12,-0.16,0.48,0.01
20101001,3.88,0.79,-2.59,1.34,-0.23,0.01
20101101,0.6,3.6,-0.9,0.29,1.63,0.01
20101201,6.82,0.97,3.82,-3.66,3.23,0.01
20110101,1.99,-2.4,0.83,-0.81,0.7,0.01
20110201,3.49,1.63,1.08,-1.92,0.94,0.01
20110301,0.45,2.66,-1.57,1.55,-0.03,0.01
20110401,2.9,-0.52,-2.53,1.1,-0.85,0
20110501,-1.27,-0.7,-2.07,1.99,-1.5,0
20110601,-1.75,0.1,-0.33,2.38,-1.46,0
20110701,-2.36,-1.29,-1.23,2.41,-1.82,0
20110801,-5.99,-3.21,-2.44,3.2,-0.23,0.01
20110901,-7.59,-3.74,-1.46,1.89,0.23,0
20111001,11.35,3.56,-0.17,-1.92,-0.85,0
20111101,-0.28,-0.27,-0.34,1.78,1.52,0
20111201,0.74,-0.45,1.75,0.77,2.39,0
20120101,5.05,2.15,-1.11,-1.82,-1.38,0
20120201,4.42,-1.63,0.09,-0.19,-0.08,0
20120301,3.11,-0.45,0.87,-0.39,0.79,0
20120401,-0.85,-0.59,-0.46,1.11,0.65,0
20120501,-6.19,-0.08,-0.62,2.25,2.37,0.01
20120601,3.89,0.96,0.44,-1.24,0.34,0
20120701,0.79,-2.65,-0.26,1.14,0.1,0
20120801,2.55,0.46,1.32,-1.21,-0.75,0.01
20120901,2.73,0.68,1.54,-1.37,1.58,0.01
20121001,-1.76,-0.8,3.79,-1.34,2.29,0.01
20121101,0.78,0.35,-0.96,0.68,0.93,0.01
20121201,1.18,1.87,3.56,-1.98,0.86,0.01
20130101,5.57,0.56,0.95,-1.67,1.49,0
20130201,1.29,-0.37,0.03,-0.66,0.47,0
20130301,4.03,0.78,-0.29,0.07,1.37,0
20130401,1.55,-2.29,0.63,0.1,0.49,0
20130501,2.8,2.07,2.6,-1.65,-0.8,0
20130601,-1.2,1.4,-0.18,-0.34,-0.07,0
20130701,5.65,1.8,0.56,-1.46,0.58,0
20130801,-2.71,-0.02,-2.78,0.61,-2.17,0
20130901,3.77,2.68,-1.19,-0.74,-1.29,0
20131001,4.18,-1.51,1.14,2.69,0.89,0
20131101,3.12,1.35,0.24,0.14,0.07,0
20131201,2.81,-0.53,-0.31,-0.52,0.07,0
20140101,-3.32,0.59,-2.09,-4,-1.38,0
20140201,4.65,0.13,-0.4,-0.24,-0.44,0
20140301,0.43,-1.17,5.08,2.15,1.89,0
20140401,-0.19,-4.17,1.14,3.51,1.05,0
20140501,2.06,-1.89,-0.27,0.09,-1.06,0
20140601,2.61,3.08,-0.74,-1.99,-1.94,0
20140701,-2.04,-4.25,0.01,0.95,0.48,0
20140801,4.24,0.29,-0.58,-0.64,-0.68,0
20140901,-1.97,-3.79,-1.23,1.14,-0.53,0
20141001,2.52,3.79,-1.68,-0.48,-0.14,0
20141101,2.55,-2.31,-2.99,1.4,0.2,0
20141201,-0.06,2.87,2.06,-1.16,0.88,0
20150101,-3.11,-0.86,-3.47,1.66,-1.71,0
20150201,6.13,0.2,-1.79,-1.07,-1.71,0
20150301,-1.12,3.04,-0.46,0.08,-0.52,0
20150401,0.59,-3.02,1.86,-0.16,-0.5,0
20150501,1.36,0.76,-1.37,-1.71,-0.75,0
20150601,-1.53,2.87,-0.79,0.52,-1.49,0
20150701,1.54,-4.55,-4.12,0.03,-2.57,0
20150801,-6.04,0.4,2.68,0.76,1.22,0
20150901,-3.08,-2.78,0.52,1.81,-0.52,0
20151001,7.75,-2.16,-0.08,0.82,0.46,0
20151101,0.56,3.34,-0.52,-2.57,-1.13,0
20151201,-2.17,-2.98,-2.58,0.3,0.08,0.01
20160101,-5.77,-3.43,2.1,2.61,3,0.01
20160201,-0.07,0.94,-0.48,3.29,2.1,0.02
20160301,6.96,1.1,1.12,0.82,-0.06,0.02
20160401,0.92,1.17,3.26,-2.88,1.96,0.01
20160501,1.78,-0.7,-1.81,-1.03,-2.6,0.01
20160601,-0.05,0.49,-1.49,1.2,1.92,0.02
20160701,3.95,2.65,-1.1,1.33,-1.27,0.02
20160801,0.5,1.71,3.33,-1.3,-0.38,0.02
20160901,0.25,1.71,-1.5,-2.44,-0.03,0.02
20161001,-2.02,-4,4.17,1.12,0.19,0.02
20161101,4.86,6.87,8.32,0.01,3.63,0.01
20161201,1.82,0.37,3.55,1.04,-0.26,0.03
20170101,1.94,-1.28,-2.76,-0.13,-0.97,0.04
20170201,3.57,-2.11,-1.78,0.72,-1.75,0.04
20170301,0.17,0.76,-3.16,0.6,-0.98,0.03
20170401,1.09,0.49,-1.87,1.94,-1.57,0.05
20170501,1.06,-3.07,-3.77,1.17,-1.87,0.06
20170601,0.78,2.48,1.35,-1.99,-0.06,0.06
20170701,1.87,-1.58,-0.28,-0.69,-0.15,0.07
20170801,0.16,-1.86,-2.24,0.32,-2.44,0.09
20170901,2.51,4.82,3.03,-1.18,1.64,0.09
20171001,2.25,-1.97,-0.06,1.05,-3.34,0.09
20171101,3.12,-0.43,-0.05,3.16,0,0.08
20171201,1.06,-1.02,0.14,0.62,1.65,0.09
20180101,5.58,-3.15,-1.37,-0.49,-0.89,0.11
20180201,-3.65,0.35,-1.19,0.46,-2.25,0.11
20180301,-2.35,3.52,-0.11,-0.48,-0.01,0.12
20180401,0.29,0.94,0.53,-2.08,1.18,0.14
20180501,2.65,4.72,-3.16,-1.94,-1.39,0.14
20180601,0.48,0.85,-2.39,0.73,0.33,0.14
20180701,3.19,-1.92,0.4,1.6,0.56,0.16
20180801,3.44,0.76,-4.11,-0.34,-2.65,0.16
20180901,0.06,-2.51,-1.35,0.61,1.19,0.15
20181001,-7.68,-4.43,3.41,0.72,3.49,0.19
20181101,1.69,-0.81,0.2,-0.63,0.42,0.18
20181201,-9.55,-3,-1.51,-0.27,0.1,0.19
20190101,8.41,3.09,-0.6,-0.66,-1.46,0.21
20190201,3.4,1.73,-2.84,0.26,-1.47,0.18
20190301,1.1,-3.56,-4.08,0.91,-1.01,0.19
